Video File :C:\Users\CPL\Downloads\video.mp4
Background :C:\Users\CPL\Downloads\video.BMP
Arena File :C:\USERS\CPL\DESKTOP\DATA\CleverSys_1.TCG
Arena   ID :1

Video Width :352
Video Height:198
Frame Rate  :25.000000

Frame From  :4
Frame   To  :242

Begin Time  :     0.16(s)
End   Time  :     9.68(s)
Record Num  :239

Attributes:
Last Modified Date	
12/04/2020 23:30:27	

Arena Bounding Box(mm): Left :132	 Right :224	 Top :53	 Bottom :145

Format: FrameNum CenterX(mm) CenterY(mm) NoseX(mm) NoseY(mm)  Motion Orientation(-pi/2 to pi/2) Axis[0](mm) Axis[1](mm) TurningAngleSum DistanceSum(mm) Center_Areas  Nose_Areas

4    176.46403162413324    99.2563247494167    176.46403162413324    99.2563247494167    0.000000   -3.091964   10   1   0.000000   0.000000   CenterArea,   ##  CenterArea, 
28    182.62778484795405    100.88842622173786    182.62778484795405    100.88842622173786    0.262745   -3.105953   22   6   0.801455   0.000000   CenterArea,   ##  CenterArea, 
29    182.1751236857983    102.61734023998565    182.1751236857983    102.61734023998565    0.003922   -3.111920   22   5   1.143388   0.000000   CenterArea,   ##  CenterArea, 
30    181.26445194823987    104.23134589327547    181.26445194823987    104.23134589327547    0.278431   -2.987971   15   6   -5.958399   0.000000   CenterArea,   ##  CenterArea, 
31    179.92705462464545    105.60789839751163    179.92705462464545    105.60789839751163    0.015686   -2.991656   16   6   -5.747264   0.000000   CenterArea,   ##  CenterArea, 
32    178.22715293721012    106.63354622702397    178.22715293721012    106.63354622702397    0.015686   -2.947160   16   5   -8.296701   0.000000   CenterArea,   ##  CenterArea, 
33    176.25913423971764    107.21278031262071    176.25913423971764    107.21278031262071    0.250980   -3.012048   16   6   -4.578891   0.000000   CenterArea,   ##  CenterArea, 
34    174.14241486981936    107.27601807490198    174.14241486981936    107.27601807490198    0.321569   -2.944565   15   7   -8.445367   0.721110   CenterArea,   ##  CenterArea, 
35    172.0142080563948    106.78609406643362    172.0142080563948    106.78609406643362    0.090196   -2.935372   15   7   -8.972084   1.424278   CenterArea,   ##  CenterArea, 
36    170.02063395263812    105.74271416422826    170.02063395263812    105.74271416422826    0.537255   2.940232   30   7   14.380540   1.919813   CenterArea,   ##  CenterArea, 
37    168.30674748117974    104.1844581754453    168.30674748117974    104.1844581754453    0.274510   2.840337   32   9   20.104117   2.955295   CenterArea,   ##  CenterArea, 
38    167.00616103151407    102.18807835934861    167.00616103151407    102.18807835934861    0.090196   2.829309   32   9   20.735937   3.988628   CenterArea,   ##  CenterArea, 
39    166.2309946446448    99.86502795980877    166.2309946446448    99.86502795980877    0.109804   2.919858   34   9   15.547888   5.093164   CenterArea,   ##  CenterArea, 
40    166.0628907380872    97.35535159638825    166.0628907380872    97.35535159638825    0.031373   2.865313   34   9   18.673069   6.259831   CenterArea,   ##  CenterArea, 
41    166.54578179277922    94.81926434008119    166.54578179277922    94.81926434008119    0.098039   2.861277   33   9   18.904312   7.426974   CenterArea,   ##  CenterArea, 
42    167.68099963193734    92.42692438656904    167.68099963193734    92.42692438656904    0.309804   2.948673   28   9   13.896921   8.663906   CenterArea,   ##  CenterArea, 
43    169.4251695793069    90.34705214846633    169.4251695793069    90.34705214846633    0.176471   3.001807   29   9   10.852528   9.909342   CenterArea,   ##  CenterArea, 
44    171.69115090825483    88.73515482883428    171.69115090825483    88.73515482883428    0.188235   2.983952   28   11   11.875567   11.142675   CenterArea,   ##  CenterArea, 
45    174.35207845093944    87.72217128098393    174.35207845093944    87.72217128098393    0.098039   2.976264   29   11   12.316033   12.356027   CenterArea,   ##  CenterArea, 
46    177.24834297146103    87.40435172577705    177.24834297146103    87.40435172577705    0.050980   2.972465   28   11   12.533738   13.538303   CenterArea,   ##  CenterArea, 
47    180.19713499976524    87.83512903089    180.19713499976524    87.83512903089    0.090196   3.031529   28   11   9.149597   14.571636   CenterArea,   ##  CenterArea, 
48    183.00398345484774    89.01962513332931    183.00398345484774    89.01962513332931    0.031373   3.030868   29   12   9.187478   15.604970   CenterArea,   ##  CenterArea, 
49    185.47556076768416    90.91227414735262    185.47556076768416    90.91227414735262    0.062745   3.010314   28   11   10.365125   16.573933   CenterArea,   ##  CenterArea, 
50    187.4329125634793    93.41784269992547    187.4329125634793    93.41784269992547    0.101961   2.991209   30   11   11.459745   17.507266   CenterArea,   ##  CenterArea, 
51    188.72421159522438    96.39590103358988    188.72421159522438    96.39590103358988    0.145098   3.057934   27   11   7.636710   18.440599   CenterArea,   ##  CenterArea, 
52    189.23613822665058    99.66856053917476    189.23613822665058    99.66856053917476    0.309804   2.988486   19   12   11.615788   18.829329   CenterArea,   ##  CenterArea, 
53    188.9030549208396    103.0310609180043    188.9030549208396    103.0310609180043    0.117647   3.054762   20   12   7.818462   20.253330   CenterArea,   ##  CenterArea, 
54    187.7132671568295    106.26457946860002    187.7132671568295    106.26457946860002    0.266667   -2.602079   16   10   -28.068381   21.716963   CenterArea,   ##  CenterArea, 
55    185.71184099009702    109.15046130560665    185.71184099009702    109.15046130560665    0.141176   -2.513190   15   10   -33.161354   22.946688   CenterArea,   ##  CenterArea, 
56    182.99966725998752    111.4849457362203    182.99966725998752    111.4849457362203    0.031373   -2.564835   16   11   -30.202324   23.982169   CenterArea,   ##  CenterArea, 
57    179.72871019997154    113.09340049624558    179.72871019997154    113.09340049624558    0.086275   -2.655452   15   10   -25.010355   25.137832   CenterArea,   ##  CenterArea, 
58    176.09363759805066    113.84307814039587    176.09363759805066    113.84307814039587    0.000000   -2.655452   15   10   -25.010355   26.247386   CenterArea,   ##  CenterArea, 
59    172.32028313313756    113.65347923541688    172.32028313313756    113.65347923541688    0.090196   -2.754613   14   10   -19.328797   27.356941   CenterArea,   ##  CenterArea, 
60    168.65162148535526    112.5035421365156    168.65162148535526    112.5035421365156    0.058824   -2.740950   14   10   -20.111674   28.580778   CenterArea,   ##  CenterArea, 
61    165.3321268604349    110.43507152019824    165.3321268604349    110.43507152019824    0.003922   -2.737038   14   10   -20.335786   29.804615   CenterArea,   ##  CenterArea, 
62    162.59152158504781    107.55205585921323    162.59152158504781    107.55205585921323    0.247059   2.985259   17   10   11.800668   30.015434   CenterArea,   ##  CenterArea, 
63    160.62899267628472    104.01579259636505    160.62899267628472    104.01579259636505    0.117647   -2.968441   15   10   -7.077389   30.275775   CenterArea,   ##  CenterArea, 
64    159.59895418632956    100.0360213743645    159.59895418632956    100.0360213743645    0.133333   3.005605   17   10   10.634904   30.636331   CenterArea,   ##  CenterArea, 
65    159.59935980831295    95.85854145490455    159.59935980831295    95.85854145490455    0.176471   -3.070351   15   10   -1.238355   31.063206   CenterArea,   ##  CenterArea, 
66    160.66342678750112    91.75004049214391    160.66342678750112    91.75004049214391    0.180392   -2.745422   13   10   -19.855419   31.952650   CenterArea,   ##  CenterArea, 
67    162.75542655318156    87.98107041847715    162.75542655318156    87.98107041847715    0.247059   2.966706   13   9   12.863677   32.842094   CenterArea,   ##  CenterArea, 
68    165.77094203396004    84.80825711747717    165.77094203396004    84.80825711747717    0.149020   2.972944   14   8   12.506281   33.829234   CenterArea,   ##  CenterArea, 
69    169.54170238794225    82.45691211597641    169.54170238794225    82.45691211597641    0.376471   2.870951   14   7   18.350014   34.851758   CenterArea,   ##  CenterArea, 
70    173.84480158907044    81.10521946698309    173.84480158907044    81.10521946698309    0.560784   2.772223   13   7   24.006737   35.955287   CenterArea,   ##  CenterArea, 
71    178.4158081447241    80.87109707906312    178.4158081447241    80.87109707906312    0.294118   2.893754   14   7   17.043508   37.073321   CenterArea,   ##  CenterArea, 
72    182.9649994879678    81.80268202021861    182.9649994879678    81.80268202021861    0.517647   2.770345   11   8   24.114326   38.111482   CenterArea,   ##  CenterArea, 
73    187.19572535564222    83.87317202302322    187.19572535564222    83.87317202302322    0.313726   2.775625   12   8   23.811817   39.172404   CenterArea,   ##  CenterArea, 
74    190.8237362337219    86.98048353141222    190.8237362337219    86.98048353141222    0.282353   2.477973   11   7   40.865997   40.235419   CenterArea,   ##  CenterArea, 
75    193.5962184937312    90.95187712377863    193.5962184937312    90.95187712377863    0.125490   2.505951   13   7   39.263006   41.298433   CenterArea,   ##  CenterArea, 
76    195.30926525238758    95.55337390629965    195.30926525238758    95.55337390629965    0.125490   2.584917   12   6   34.738565   42.361448   CenterArea,   ##  CenterArea, 
77    195.82258403266778    100.5034630205946    195.82258403266778    100.5034630205946    0.439216   2.752377   13   4   25.143827   43.454863   CenterArea,   ##  CenterArea, 
78    195.0703961370103    105.49030250422011    195.0703961370103    105.49030250422011    0.423529   2.748812   13   4   25.348064   44.564417   CenterArea,   ##  CenterArea, 
79    193.06770986056208    110.19136390389694    193.06770986056208    110.19136390389694    0.172549   -0.288744   13   4   19.387245   45.646082   CenterArea,   ##  CenterArea, 
80    189.91143676896306    114.29428315726469    189.91143676896306    114.29428315726469    0.486275   -0.228746   10   3   15.949604   46.793059   CenterArea,   ##  CenterArea, 
81    185.77614943165497    117.51757032609167    185.77614943165497    117.51757032609167    0.466667   -0.322184   8   3   21.303237   47.959249   CenterArea,   ##  CenterArea, 
82    180.90462922869887    119.62980786880533    180.90462922869887    119.62980786880533    0.415686   -0.280678   5   3   18.925103   49.055708   CenterArea,   ##  CenterArea, 
83    175.59370126815068    120.46603474936714    175.59370126815068    120.46603474936714    0.643137   -0.307917   5   3   20.485822   50.205104   CenterArea,   ##  CenterArea, 
84    170.17617682656174    119.94016929190052    170.17617682656174    119.94016929190052    0.643137   -2.914249   8   2   -10.182353   50.923126   CenterArea,   ##  CenterArea, 
85    165.00000000000006    118.05255888325769    165.00000000000006    118.05255888325769    0.400000   2.965568   10   2   12.928892   51.703440   CenterArea,   ##  CenterArea, 
86    160.40590504527407    114.89204549693778    160.40590504527407    114.89204549693778    0.400000   0.264046   8   2   -12.285264   53.010684   CenterArea,   ##  CenterArea, 
87    156.70501884109288    110.6322839978913    156.70501884109288    110.6322839978913    0.400000   -0.144569   8   2   11.126646   54.611032   CenterArea,   ##  CenterArea, 
88    154.15787877327853    105.52242320817125    154.15787877327853    105.52242320817125    0.337255   -0.335860   10   2   22.086799   56.145814   CenterArea,   ##  CenterArea, 
89    152.95627582266917    99.87263357153769    152.95627582266917    99.87263357153769    0.227451   -0.288546   7   2   19.375917   57.647294   CenterArea,   ##  CenterArea, 
90    153.20917769796947    94.03531520710412    153.20917769796947    94.03531520710412    0.674510   -0.247262   5   2   17.010506   58.987278   CenterArea,   ##  CenterArea, 
91    154.93374580142037    88.38312253138818    154.93374580142037    88.38312253138818    0.458824   0.033561   7   2   0.920570   60.264862   CenterArea,   ##  CenterArea, 
92    158.05214681070393    83.28517547829459    158.05214681070393    83.28517547829459    0.458824   0.033561   7   2   0.920570   61.448548   CenterArea,   ##  CenterArea, 
93    162.39449392120588    79.08297580548437    162.39449392120588    79.08297580548437    0.458824   -0.008340   16   1   3.321300   62.972067   CenterArea,   ##  CenterArea, 
94    167.70785740274752    76.06759851199524    167.70785740274752    76.06759851199524    0.458824   0.408277   7   2   -20.549106   64.588991   CenterArea,   ##  CenterArea, 
95    173.6708845802058    74.45967766064686    173.6708845802058    74.45967766064686    0.458824   0.408277   7   2   -20.549106   66.267615   CenterArea,   ##  CenterArea, 
96    179.91319191246237    74.39355421084014    179.91319191246237    74.39355421084014    0.458824   2.610457   6   4   33.275265   68.549184   CenterArea,   ##  CenterArea, 
97    186.03836182742535    75.9067088278102    186.03836182742535    75.9067088278102    0.752941   -3.067196   10   3   -1.419122   70.595590   CenterArea,   ##  CenterArea, 
98    191.64911703332422    78.93527933648025    191.64911703332422    78.93527933648025    0.498039   2.414709   11   2   44.490766   72.537239   CenterArea,   ##  CenterArea, 
99    196.3730736346577    83.31608028415232    196.3730736346577    83.31608028415232    0.498039   2.414709   11   2   44.490766   74.501927   CenterArea,   ##  CenterArea, 
100    199.8874045108243    88.79512497264888    199.8874045108243    88.79512497264888    0.498039   2.936787   18   3   14.577891   76.580655   CenterArea,   ##  CenterArea, 
101    201.94078259541124    95.04222506966893    201.94078259541124    95.04222506966893    0.266667   2.940407   18   4   14.370527   78.723602   CenterArea,   ##  CenterArea, 
102    202.37111945948752    101.67083729411019    202.37111945948752    101.67083729411019    0.345098   2.865588   16   4   18.657318   81.000540   CenterArea,   ##  CenterArea, 
103    201.11786040023858    108.26196769113352    201.11786040023858    108.26196769113352    0.168627   2.861383   16   4   18.898219   83.298848   CenterArea,   ##  CenterArea, 
104    198.22792879811036    114.39065609405894    198.22792879811036    114.39065609405894    0.168627   -3.064448   10   5   -1.576572   84.506233   CenterArea,   ##  CenterArea, 
105    193.8548096680269    119.65336670624558    193.8548096680269    119.65336670624558    0.400000   -3.076542   11   5   -0.883663   85.779898   CenterArea,   ##  CenterArea, 
106    188.25070025948847    123.6945198885022    188.25070025948847    123.6945198885022    0.400000   2.991342   17   4   11.452137   86.769286   CenterArea,   ##  CenterArea, 
107    181.75210630484634    126.23042307932857    181.75210630484634    126.23042307932857    0.400000   3.128523   19   6   3.592267   87.848895   CenterArea,   ##  CenterArea, 
108    174.75969678923803    127.06899585805589    174.75969678923803    127.06899585805589    0.164706   -3.098399   20   6   0.368680   88.875756   CenterArea,   ##  CenterArea, 
109    167.71361920159822    126.12392855346445    167.71361920159822    126.12392855346445    0.294118   -3.128047   18   6   2.067348   89.862896   CenterArea,   ##  CenterArea, 
110    161.06579486915248    123.42225141663631    161.06579486915248    123.42225141663631    0.294118   -3.101931   19   4   0.571031   90.863451   CenterArea,   ##  CenterArea, 
111    155.25093815138314    119.10470177969918    155.25093815138314    119.10470177969918    0.321569   -3.115305   23   3   1.337310   91.922277   CenterArea,   ##  CenterArea, 
112    150.65815769131757    113.4187342583758    150.65815769131757    113.4187342583758    0.584314   -3.042558   17   5   -2.830786   92.997244   CenterArea,   ##  CenterArea, 
113    147.6049932171976    106.70449484667834    147.6049932171976    106.70449484667834    0.156863   -3.090714   17   5   -0.071649   94.087097   CenterArea,   ##  CenterArea, 
114    146.31561581718066    99.37454293939551    146.31561581718066    99.37454293939551    0.466667   -3.062854   22   3   -1.667933   95.383673   CenterArea,   ##  CenterArea, 
115    146.90467930982382    91.88852545431465    146.90467930982382    91.88852545431465    0.505882   -2.990176   20   6   -5.832068   96.753994   CenterArea,   ##  CenterArea, 
116    149.36796904138865    84.7243561717228    149.36796904138865    84.7243561717228    0.207843   -2.913941   16   7   -10.200002   97.858530   CenterArea,   ##  CenterArea, 
117    153.58057272047785    78.34770721137    153.58057272047785    78.34770721137    0.207843   -3.041942   32   4   -2.866071   98.998705   CenterArea,   ##  CenterArea, 
118    159.302821903813    73.18176009614923    159.302821903813    73.18176009614923    0.207843   3.025997   18   8   9.466546   99.847233   CenterArea,   ##  CenterArea, 
119    166.19375259527186    69.57918007689081    166.19375259527186    69.57918007689081    0.164706   2.885507   18   8   17.516048   100.602952   CenterArea,   ##  CenterArea, 
120    173.83134129727867    67.79816621724414    173.83134129727867    67.79816621724414    0.105882   2.942894   20   7   14.228035   101.352026   CenterArea,   ##  CenterArea, 
121    181.73832093497793    67.98419632589953    181.73832093497793    67.98419632589953    0.258824   2.940373   14   8   14.372453   102.080037   CenterArea,   ##  CenterArea, 
122    189.41199942540337    70.15874339238414    189.41199942540337    70.15874339238414    0.392157   -2.749003   15   8   -19.650240   102.662178   CenterArea,   ##  CenterArea, 
123    196.3562182468973    74.21580926415093    196.3562182468973    74.21580926415093    0.333333   3.122100   12   9   3.960237   103.475949   CenterArea,   ##  CenterArea, 
124    202.11341927631082    79.92662851613709    202.11341927631082    79.92662851613709    0.349020   -3.020856   15   8   -4.074222   104.043595   CenterArea,   ##  CenterArea, 
125    206.2947482372449    86.95237187318436    206.2947482372449    86.95237187318436    0.337255   -3.102543   16   7   0.606111   104.644520   CenterArea,   ##  CenterArea, 
126    208.60621696480948    94.86415770068567    208.60621696480948    94.86415770068567    0.098039   -3.132921   16   7   2.346621   105.913816   CenterArea,   ##  CenterArea, 
127    208.86917032742895    103.1691958662441    208.86917032742895    103.1691958662441    0.631373   -2.628886   12   5   -26.532449   106.810724   CenterArea,   ##  CenterArea, 
128    207.03364453571442    111.34147271527426    207.03364453571442    111.34147271527426    0.192157   0.509251   10   5   -26.334484   107.541781   CenterArea,   ##  CenterArea, 
129    203.18364137779912    118.8550670364801    203.18364137779912    118.8550670364801    0.192157   -0.186300   15   4   13.517630   107.541781   CenterArea,   ##  CenterArea, 
130    197.53385070746185    125.21798689412113    197.53385070746185    125.21798689412113    0.254902   -0.188248   17   4   13.629255   107.541781   CenterArea,   ##  CenterArea, 
131    190.41789938230892    130.0043508531869    190.41789938230892    130.0043508531869    0.254902   -0.163537   17   4   12.213451   107.541781   CenterArea,   ##  CenterArea, 
132    182.26875396258114    132.88281073641224    182.26875396258114    132.88281073641224    0.580392   -0.140535   18   2   10.895484   107.736146   CenterArea,   ##  CenterArea, 
133    173.592421270708    133.63932394526287    173.592421270708    133.63932394526287    0.196078   3.065143   20   2   7.223661   107.915652   CenterArea,   ##  CenterArea, 
134    164.93654138953767    132.19271991325147    164.93654138953767    132.19271991325147    0.733333   2.799128   14   3   22.465177   108.929445   CenterArea,   ##  CenterArea, 
135    156.855821665579    128.601947475967    156.855821665579    128.601947475967    0.529412   -0.045656   12   5   5.459318   109.817014   CenterArea,   ##  CenterArea, 
136    149.8764934308179    123.0644107276213    149.8764934308179    123.0644107276213    0.470588   0.009238   19   2   2.314172   111.532952   CenterArea,   ##  CenterArea, 
137    144.46206860164455    115.90536769138109    144.46206860164455    115.90536769138109    0.745098   0.021000   14   6   1.640248   112.860439   CenterArea,   ##  CenterArea, 
138    140.98262288615973    107.55894281604643    140.98262288615973    107.55894281604643    0.145098   -0.022112   13   6   4.110344   114.220586   CenterArea,   ##  CenterArea, 
139    139.6896372049442    98.5418537259182    139.6896372049442    98.5418537259182    0.070588   -0.022308   13   6   4.121574   115.627316   CenterArea,   ##  CenterArea, 
140    140.69809967543478    89.42143883926511    140.69809967543478    89.42143883926511    0.149020   -0.157459   13   6   11.865160   117.668013   CenterArea,   ##  CenterArea, 
141    143.9771265372102    80.77996307350725    143.9771265372102    80.77996307350725    0.000000   -0.157459   13   6   11.865160   119.714691   CenterArea,   ##  CenterArea, 
142    149.34982881829012    73.17744725543241    149.34982881829012    73.17744725543241    0.486275   -0.120587   22   4   9.752582   121.749936   CenterArea,   ##  CenterArea, 
143    156.50256552361543    67.1153939838361    156.50256552361543    67.1153939838361    0.117647   -0.058302   21   5   6.183933   123.767911   CenterArea,   ##  CenterArea, 
144    165.00312080959745    63.00375836829957    165.00312080959745    63.00375836829957    0.000000   -0.057866   21   5   6.158935   125.602456   CenterArea,   ##  CenterArea, 
145    174.32676076283963    61.13333577639632    174.32676076283963    61.13333577639632    0.003922   -0.058002   21   5   6.166732   127.471799   CenterArea,   ##  CenterArea, 
146    183.88860293236033    61.65541977692073    183.88860293236033    61.65541977692073    0.000000   -0.058002   21   5   6.166732   129.353878   CenterArea,   ##  CenterArea, 
147    193.080303246402    64.57014054006893    193.080303246402    64.57014054006893    0.298039   -0.164541   20   4   12.270970   130.725414   CenterArea,   ##  CenterArea, 
148    201.30875933526113    69.72435398920504    201.30875933526113    69.72435398920504    0.027451   -0.169292   19   4   12.543155   131.918915   CenterArea,   ##  CenterArea, 
149    208.03436797374712    76.81934857032662    208.03436797374712    76.81934857032662    0.203922   -0.133303   17   4   10.481166   133.012330   CenterArea,   ##  CenterArea, 
150    212.80636969539896    85.42800773972479    212.80636969539896    85.42800773972479    0.392157   -0.306116   12   4   20.382631   134.075344   CenterArea,   ##  CenterArea, 
151    215.29296799463634    95.02045243177545    215.29296799463634    95.02045243177545    0.298039   -0.178713   17   4   13.082928   135.163666   CenterArea,   ##  CenterArea, 
152    215.30421605365342    104.99662868231955    215.30421605365342    104.99662868231955    0.309804   -0.178426   16   4   13.066522   136.190528   CenterArea,   ##  CenterArea, 
153    212.80610286871922    114.72383805234678    212.80610286871922    114.72383805234678    0.109804   -0.180475   17   4   13.183904   137.244620   CenterArea,   ##  CenterArea, 
154    207.92481641719567    123.5768638846271    207.92481641719567    123.5768638846271    0.356863   -0.083297   17   5   7.616020   138.216446   CenterArea,   ##  CenterArea, 
155    200.94078027186077    130.97814855748436    200.94078027186077    130.97814855748436    0.184314   -0.100518   17   6   8.602706   139.230239   CenterArea,   ##  CenterArea, 
156    192.27271285708989    136.435440426497    192.27271285708989    136.435440426497    0.380392   -0.054221   20   7   5.950095   140.053512   CenterArea,   ##  CenterArea, 
157    182.4526036854435    139.57445848212527    182.4526036854435    139.57445848212527    0.384314   -0.044121   30   6   5.371407   140.605277   CenterArea,   ##  CenterArea, 
158    172.09309671518432    140.16441166601177    172.09309671518432    140.16441166601177    0.227451   -0.082245   28   6   7.555746   141.187418   CenterArea,   ##  CenterArea, 
159    161.84927839381936    138.13464166974734    161.84927839381936    138.13464166974734    0.180392   -0.070776   28   6   6.898635   141.515714   CenterArea,   ##  CenterArea, 
160    152.37725318187412    133.5812068432251    152.37725318187412    133.5812068432251    0.050980   -0.082294   27   6   7.558530   141.874725   CenterArea,   ##  CenterArea, 
161    144.29212603224389    126.76285665501318    144.29212603224389    126.76285665501318    0.050980   -0.123992   26   6   9.947641   142.222735   CenterArea,   ##  CenterArea, 
162    138.12808233963224    118.08652129188665    138.12808233963224    118.08652129188665    0.235294   -0.159955   25   6   12.008192   142.491477   CenterArea,   ##  CenterArea, 
163    134.30315465196696    108.083116496094    134.30315465196696    108.083116496094    0.129412   -0.108731   23   5   9.073304   142.702295   CenterArea,   ##  CenterArea, 
164    133.09099635945296    97.37509610817145    133.09099635945296    97.37509610817145    0.050980   -0.101519   23   5   8.660068   142.702295   CenterArea,   ##  CenterArea, 
165    134.60156093074878    86.6377327566059    134.60156093074878    86.6377327566059    0.031373   -0.137342   24   5   10.712572   142.702295   CenterArea,   ##  CenterArea, 
166    138.77203635222605    76.55653440406888    138.77203635222605    76.55653440406888    0.137255   -0.129269   23   5   10.250030   142.702295   CenterArea,   ##  CenterArea, 
167    145.36874205321672    67.78348205958667    145.36874205321672    67.78348205958667    0.360784   -0.078496   24   5   7.340936   143.004141   CenterArea,   ##  CenterArea, 
168    153.99999999999974    60.894882233484836    153.99999999999974    60.894882233484836    0.113725   -0.075419   22   5   7.164627   143.311460   CenterArea,   ##  CenterArea, 
169    164.13928695165595    56.3535576616173    164.13928695165595    56.3535576616173    0.105882   3.127764   23   5   3.635721   143.618778   CenterArea,   ##  CenterArea, 
170    175.15730633394188    54.477853853164454    175.15730633394188    54.477853853164454    0.156863   0.085570   23   5   -2.059363   143.991456   CenterArea,   ##  CenterArea, 
171    186.36102924562596    55.41953087714865    186.36102924562596    55.41953087714865    0.133333   0.090100   24   4   -2.318925   144.364134   CenterArea,   ##  CenterArea, 
172    197.03728358710538    59.152063855245636    197.03728358710538    59.152063855245636    0.670588   -0.008928   14   2   3.355004   144.534101   CenterArea,   ##  CenterArea, 
173    206.49814983964944    65.47022538599636    206.49814983964944    65.47022538599636    0.882353   -0.142743   16   2   11.022030   144.534101   CenterArea,   ##  CenterArea, 
174    214.12527397424245    74.00110920168453    214.12527397424245    74.00110920168453    0.882353   -0.214313   12   3   15.122706   144.767434   CenterArea,   ##  CenterArea, 
175    219.41024383819442    84.22602193118291    219.41024383819442    84.22602193118291    0.882353   -3.128956   26   1   2.119449   145.371127   CenterArea,   ##  CenterArea, 
